FeedbackID,AlumniID,EventID,MentorshipID,FeedbackDate,Rating,Comments
FB0001,ALU1712,,MENT0704,7/31/2025,3,Great networking opportunity!
FB0002,ALU0822,EVT0006,,5/9/2024,2,Helpful mentorship experience.
FB0003,ALU0281,EVT0011,,1/10/2025,5,Very informative session.
FB0004,ALU1825,EVT0011,,12/8/2024,3,Helpful mentorship experience.
FB0005,ALU0952,EVT0029,,1/27/2025,2,Enjoyed reconnecting with peers.
FB0006,ALU1651,EVT0009,,8/22/2025,5,Excellent experience!
FB0007,ALU0563,EVT0028,MENT0419,12/23/2023,3,Enjoyed reconnecting with peers.
FB0008,ALU1704,,,5/13/2025,3,Could improve organization.
FB0009,ALU1286,,,5/25/2025,1,Helpful mentorship experience.
FB0010,ALU0171,EVT0024,,8/13/2024,4,Helpful mentorship experience.
FB0011,ALU0205,EVT0031,,5/16/2024,5,Would love more frequent updates.
FB0012,ALU0726,EVT0021,,7/14/2024,5,Excellent experience!
FB0013,ALU1168,EVT0033,,3/3/2024,1,Could improve organization.
FB0014,ALU0230,EVT0010,,7/21/2025,1,Could improve organization.
FB0015,ALU1114,,,8/29/2025,4,Great networking opportunity!
FB0016,ALU0414,,,1/2/2024,4,Very informative session.
FB0017,ALU0577,,,8/28/2024,1,Good opportunity to connect.
FB0018,ALU0364,EVT0031,,3/12/2025,4,Good opportunity to connect.
FB0019,ALU0564,EVT0014,,12/29/2024,2,Could improve organization.
FB0020,ALU0760,,,4/21/2024,2,Enjoyed reconnecting with peers.
FB0021,ALU0695,EVT0030,,1/22/2025,2,The event was well-planned.
FB0022,ALU0882,,,8/14/2025,5,Excellent experience!
FB0023,ALU1581,EVT0028,MENT0189,7/23/2025,1,Excellent experience!
FB0024,ALU0902,EVT0030,,3/26/2024,5,Appreciate the university’s support.
FB0025,ALU0944,EVT0023,,4/30/2024,4,Great networking opportunity!
FB0026,ALU1575,EVT0017,,4/15/2024,2,Appreciate the university’s support.
FB0027,ALU1566,EVT0003,,11/4/2023,4,Would love more frequent updates.
FB0028,ALU0206,EVT0019,,12/6/2023,4,Excellent experience!
FB0029,ALU0878,EVT0019,,6/2/2024,5,Excellent experience!
FB0030,ALU1065,EVT0010,MENT0100,5/22/2024,1,Could improve organization.
FB0031,ALU1172,EVT0014,MENT0515,10/2/2024,3,Helpful mentorship experience.
FB0032,ALU0375,EVT0024,,11/29/2023,3,Great networking opportunity!
